email_id,template_group_id,template_signature_hash,template_group_size,template_grouping_version
nazario5_000001_50b36f4bdf88,tpl_9145ef5b0f9dbf0b,f20b66f3eee2692d0056bcf235bd07c4106edb23f1442498b14af8796136dd17,1,1.0
nazario5_000002_42a5d0fa9de4,tpl_6795eb9f61a87c64,de034920a1bbef73272d7d439701d0f83b31fa28b7e73a06bc2031ff8300bc7e,1,1.0
nazario5_000003_762f8779c452,tpl_c02e1d392212f574,545dde94b12547e7fadf4f540c9659ae33334a983946b1548afb9f90d42e5e16,1,1.0
nazario5_000004_636596ccfb34,tpl_1e5573f86ee7bb05,911a9be1e4ba77beb45a63d3708495d69b48dce97b41943be1755f746f6ab3e0,1,1.0
nazario5_000005_9ef6465b5cd4,tpl_1687f7b858ad7bad,e9964041b21d609a7bf6e63e08e34cc98e29c93b533dde12c511cd5b4bbdd02c,1,1.0
nazario5_000006_cce0d1f92015,tpl_e098cdf9a825672e,e879ff92058cffcc40512c1f8bb37193a301cfc11471eec042918775f497ac43,1,1.0
nazario5_000007_602f0a619728,tpl_35b26871fe33cedd,3a74e4da1a519c00161ff032a25199751b2d53be98679b97f8a25c3e5f5bcdf9,1,1.0
nazario5_000008_df5ea7b67cd2,tpl_56bf2e3d3d58399c,f1316770175ef9c7c2ff7a4f7e328af096f03a723c325b9a627a09dfb44cf462,1,1.0
nazario5_000009_ce42bade8bc8,tpl_1c26e8092f695d77,a57869950891208d286c128599331c6abbb1714ededd2fc4355a63bdad27f165,1,1.0
nazario5_000010_3889dbd2785e,tpl_47fe58ea9e1c436b,9b8618251457ba67c988000418f8884bc96a13f13e7cd911fd2614396b80023a,1,1.0
nazario5_000011_fd135025c657,tpl_0bc60220cf9691f7,56d62a379f5d362a35f252cde6daef4d0645630b0510918dc853e1536577d39a,1,1.0
nazario5_000012_0a1759370397,tpl_7bc2a9137ceae8c7,8793d59f66763fb03b4a16ace61eea8a44907923100ce3c626b52bd9ba0986e8,1,1.0
nazario5_000013_69eb0ef5ba4c,tpl_08160fdbc8f4deea,9a2b82a981d3d2cca0a6c5384b86f634b94398c5c8f9ff6895b61b6892d85771,1,1.0
nazario5_000014_7292ff5cef6b,tpl_e7b6d4d078f16822,ba9bd45ed0347936a32bf8b0d8f8b7f81d5ae7d039ab0bbe9d110d2f99a1da35,1,1.0
