email_id_a,email_id_b,cosine_similarity,evidence_type
nazario5_000049_d0bbbadb2a60,nazario5_000052_ffd1f360c4b8,0.99675286,char_3_5gram_tfidf_cosine
nazario5_000049_d0bbbadb2a60,nazario5_000064_1e99c2c54d50,0.95906729,char_3_5gram_tfidf_cosine
nazario5_000049_d0bbbadb2a60,nazario5_000066_976271582274,0.96598828,char_3_5gram_tfidf_cosine
nazario5_000049_d0bbbadb2a60,nazario5_000071_21710dcdc351,0.98763514,char_3_5gram_tfidf_cosine
nazario5_000049_d0bbbadb2a60,nazario5_000087_85015231c66a,0.96942294,char_3_5gram_tfidf_cosine
nazario5_000049_d0bbbadb2a60,nazario5_000197_3ebb103d2dea,0.96906477,char_3_5gram_tfidf_cosine
nazario5_000049_d0bbbadb2a60,nazario5_000204_37a3ec70e036,0.9750492,char_3_5gram_tfidf_cosine
nazario5_000049_d0bbbadb2a60,nazario5_000222_13aed61e3c24,0.96607578,char_3_5gram_tfidf_cosine
nazario5_000052_ffd1f360c4b8,nazario5_000064_1e99c2c54d50,0.95957738,char_3_5gram_tfidf_cosine
nazario5_000052_ffd1f360c4b8,nazario5_000066_976271582274,0.96649915,char_3_5gram_tfidf_cosine
nazario5_000052_ffd1f360c4b8,nazario5_000071_21710dcdc351,0.99040544,char_3_5gram_tfidf_cosine
nazario5_000052_ffd1f360c4b8,nazario5_000087_85015231c66a,0.97002393,char_3_5gram_tfidf_cosine
nazario5_000052_ffd1f360c4b8,nazario5_000197_3ebb103d2dea,0.96966624,char_3_5gram_tfidf_cosine
nazario5_000052_ffd1f360c4b8,nazario5_000204_37a3ec70e036,0.97565097,char_3_5gram_tfidf_cosine
nazario5_000052_ffd1f360c4b8,nazario5_000222_13aed61e3c24,0.96667391,char_3_5gram_tfidf_cosine
nazario5_000056_6668a3f844f3,nazario5_000076_3e8823d6f7d5,0.99072701,char_3_5gram_tfidf_cosine
nazario5_000057_822c51493bdf,nazario5_000065_0142a49a6222,0.98514682,char_3_5gram_tfidf_cosine
nazario5_000057_822c51493bdf,nazario5_000100_55f77b59397a,0.97064835,char_3_5gram_tfidf_cosine
nazario5_000062_709238d9687f,nazario5_000064_1e99c2c54d50,0.96177667,char_3_5gram_tfidf_cosine
nazario5_000062_709238d9687f,nazario5_000066_976271582274,0.97429281,char_3_5gram_tfidf_cosine
nazario5_000062_709238d9687f,nazario5_000204_37a3ec70e036,0.95287091,char_3_5gram_tfidf_cosine
nazario5_000064_1e99c2c54d50,nazario5_000066_976271582274,0.97218776,char_3_5gram_tfidf_cosine
nazario5_000064_1e99c2c54d50,nazario5_000071_21710dcdc351,0.95869076,char_3_5gram_tfidf_cosine
nazario5_000064_1e99c2c54d50,nazario5_000087_85015231c66a,0.95971543,char_3_5gram_tfidf_cosine
nazario5_000064_1e99c2c54d50,nazario5_000197_3ebb103d2dea,0.95942563,char_3_5gram_tfidf_cosine
nazario5_000064_1e99c2c54d50,nazario5_000204_37a3ec70e036,0.96464461,char_3_5gram_tfidf_cosine
nazario5_000064_1e99c2c54d50,nazario5_000222_13aed61e3c24,0.95705646,char_3_5gram_tfidf_cosine
nazario5_000065_0142a49a6222,nazario5_000100_55f77b59397a,0.96870577,char_3_5gram_tfidf_cosine
nazario5_000066_976271582274,nazario5_000071_21710dcdc351,0.96709341,char_3_5gram_tfidf_cosine
nazario5_000066_976271582274,nazario5_000087_85015231c66a,0.97227758,char_3_5gram_tfidf_cosine
nazario5_000066_976271582274,nazario5_000197_3ebb103d2dea,0.97189337,char_3_5gram_tfidf_cosine
nazario5_000066_976271582274,nazario5_000204_37a3ec70e036,0.97760516,char_3_5gram_tfidf_cosine
nazario5_000066_976271582274,nazario5_000222_13aed61e3c24,0.97173011,char_3_5gram_tfidf_cosine
nazario5_000071_21710dcdc351,nazario5_000087_85015231c66a,0.96950543,char_3_5gram_tfidf_cosine
nazario5_000071_21710dcdc351,nazario5_000197_3ebb103d2dea,0.96915233,char_3_5gram_tfidf_cosine
nazario5_000071_21710dcdc351,nazario5_000204_37a3ec70e036,0.97512949,char_3_5gram_tfidf_cosine
nazario5_000071_21710dcdc351,nazario5_000222_13aed61e3c24,0.96636081,char_3_5gram_tfidf_cosine
nazario5_000076_3e8823d6f7d5,nazario5_000093_a1e4b9648f27,0.95796859,char_3_5gram_tfidf_cosine
nazario5_000076_3e8823d6f7d5,nazario5_000164_fe2b32f16286,0.96874183,char_3_5gram_tfidf_cosine
